t model,t search,t all
5.560010322369635e-06,1.320119997006259,5.528422600007616
8.420029189437628e-07,0.3525136370008113,0.5278453369974159
9.9198950920254e-07,0.29540935400291346,0.41352011100389063
1.0010116966441274e-06,0.2942105550027918,0.43631693300267216
7.810012903064489e-07,0.2902239179966273,0.48809662100393325
7.90998456068337e-07,0.2954442879999988,0.44303083400882315
6.810005288571119e-07,0.29407149500912055,0.42507128400029615
1.0320072760805488e-06,0.2923790399945574,0.43056085699936375
7.820053724572062e-07,0.29997998601174913,0.4650902149878675
7.519993232563138e-07,0.2924503440008266,0.43615954800043255
8.219940355047584e-07,0.31224460699013434,0.43326474000059534
1.0319927241653204e-06,0.2943563279986847,0.4021701730089262
8.019997039809823e-07,0.291269168999861,0.4326503870106535
1.4129909686744213e-06,0.3084456710057566,0.4523918409977341
7.719936547800899e-07,0.2952013539907057,0.4619543849985348
9.820068953558803e-07,0.2935148510005092,0.43885403098829556
1.2020027497783303e-06,0.292633367003873,0.45358699100324884
1.5620025806128979e-06,0.31068345899984706,0.4844103380019078
1.291991793550551e-06,0.2959008059988264,0.4271695999923395
1.281994627788663e-06,0.2985791089886334,0.4899530929978937
1.0219955584034324e-06,0.29546226300590206,0.43384453699400183
7.010094122961164e-07,0.2963663280097535,0.40899010399880353
1.0020012268796563e-06,0.29498035000870004,0.4334172060043784
9.520008461549878e-07,0.293276483003865,0.42724494899448473
1.0119983926415443e-06,0.29448208400572184,0.43719518100260757
7.610069587826729e-07,0.2969186950067524,0.5110559689928778
2.2750027710571885e-06,0.29542132500500884,0.41297705100441817
1.2020027497783303e-06,0.29651778300467413,0.4416837290045805
9.420036803930998e-07,0.29544134499155916,0.4651884190097917
8.719944162294269e-07,0.29396021700813435,0.4517749240039848
9.020004654303193e-07,0.2944133670098381,0.4385733849921962
7.219932740554214e-07,0.29127224399417173,0.46121278300415725
7.310009095817804e-07,0.29445281899825204,0.43420417098968755
7.810012903064489e-07,0.29466776199114975,0.4382965149998199
9.220093488693237e-07,0.2965301540098153,0.4226819519972196
1.0419898899272084e-06,0.29034065699670464,0.4346216339909006
7.609924068674445e-07,0.2961512950132601,0.4727215480088489
1.0119983926415443e-06,0.29563974699703977,0.43985163200704847
9.310024324804544e-07,0.2972362989967223,0.4133026119961869
9.219947969540954e-07,0.30186863799463026,0.42552788100147154
1.0619987733662128e-06,0.29016766301356256,0.4790945480053779
8.320057531818748e-07,0.29940663899469655,0.42578485199192073
1.0219955584034324e-06,0.2969920620089397,0.4298547939979471
1.0719959391281009e-06,0.2971530340000754,0.4283443219901528
1.2730015441775322e-06,0.2981482710019918,0.46637968299910426
1.4929973985999823e-06,0.29734653599734884,0.46732536499621347
5.809997674077749e-07,0.2953286609990755,0.4325650870014215
9.20990714803338e-07,0.2932889770017937,0.43250809000164736
6.920017767697573e-07,0.30098920900491066,0.4246987340011401
1.0020012268796563e-06,0.2945679550030036,0.4380972320068395
9.320065146312118e-07,0.29557228001067415,0.4331129450001754
6.409973138943315e-07,0.31074546500167344,0.5126503999927081
9.820068953558803e-07,0.29265718199894764,0.43573965100222267
9.210052667185664e-07,0.29516863300523255,0.4315548129961826
7.90998456068337e-07,0.29515627000364475,0.44102050400397275
8.019997039809823e-07,0.2948869840038242,0.46384125300392043
8.420029189437628e-07,0.2964802009955747,0.49130902500473894
7.519993232563138e-07,0.29465539900411386,0.4366745639999863
1.0320072760805488e-06,0.2915346270019654,0.4594491059979191
8.320057531818748e-07,0.3007637260016054,0.4457428289897507
7.00994860380888e-07,0.29400133300805464,0.43840431900753174
6.110058166086674e-07,0.29763171200465877,0.4904316000029212
1.1629890650510788e-06,0.2970674029929796,0.4240894710092107
6.620102794840932e-07,0.29512562199670356,0.4322071259957738
1.1020019883289933e-06,0.2940196280105738,0.4373562319960911
1.0220101103186607e-06,0.29813540598843247,0.4756301320012426
1.0320072760805488e-06,0.29826421799953096,0.47282881700084545
7.709895726293325e-07,0.2999326970020775,0.42014617699896917
9.619980119168758e-07,0.2990771920012776,0.4678301840031054
1.5729892766103148e-06,0.29861875300412066,0.44197977300791536
1.0020012268796563e-06,0.2935563899955014,0.41343341799802147
8.520000847056508e-07,0.29840781800157856,0.4895814060000703
7.810012903064489e-07,0.2939415410073707,0.41849098200327717
7.810012903064489e-07,0.2970201849966543,0.4413764320051996
6.210029823705554e-07,0.30113392999919597,0.4672682300006272
1.5330006135627627e-06,0.3006727150059305,0.44478955399245024
1.1219963198527694e-06,0.29870395199395716,0.44246228798874654
1.0220101103186607e-06,0.29895511400536634,0.43164672500279266
1.1820084182545543e-06,0.2965336429915624,0.4403919159958605
1.5929981600493193e-06,0.29361593099019956,0.4137922910013003
7.509952411055565e-07,0.29975133699190337,0.4927102530054981
7.820053724572062e-07,0.29627708200132474,0.4631749039981514
